,Coefficient
trams,0.0
fastEight,4.440892098500626e-16
fastSixes,1.3322676295501878e-15
fastQuads,1.3641456093087325
quad,1.652537081266105
triple,0.6521765878089794
double,0.15150770740526529
surface,1.3923268526864656
total_chairs,0.7140564385871101
Runs,3.062045035088093
TerrainParks,0.35333426979682986
LongestRun_mi,0.4538307483123813
SkiableTerrain_ac,3.1092586569929783
Snow Making_ac,1.0537991282071737
daysOpenLastYear,1.016269123470061
yearsOpen,0.07674143862746105
averageSnowfall,1.5831456169893374
AdultWeekday,13.43260091416639
projectedDaysOpen,0.118713184030705
NightSkiing_ac,0.5104131515306989
clusters,0.32248206342296126
